Gene.refGene,Z_score
ELMO2,0.016280039
RPS11,-0.143760538
CREB3L1,-0.049683601
PNMA1,-0.053878926
MMP2,-0.145360087
TMEM216,-0.132213242
C10orf90,0.12042461
ZHX3,-0.081271322
ERCC5,-0.094358472
GPR98,0.184438236
RXFP3,0.058640841
APBB2,0.062547629
KLHL13,0.023567574
KRTAP10-8,0.109700576
PDCL3,-0.154542105
AEN,-0.08516868
DECR1,-0.175998971
GGT3P,0.092378971
SALL1,0.038844016
CADM4,-0.099767337
RPS18,-0.218147295
SLC10A7,-0.004492948
CFHR5,0.011386235
OR2K2,0.050714007
BRIX1,-0.061105526
LMAN1,-0.098091022
SUMO1,-0.147543812
GP1BA,0.024089578
UQCR11,-0.212768001
DDB1,0.001403849
MYO9B,0.042174731
MMP7,-0.00268812
CRNKL1,-0.119585101
XAB2,-0.070647316
RTN1,0.086056037
KLHL14,0.070193522
ADAM21P1,0.060188401
TBX10,0.048546657
UTY,0.09487512
CENPQ,-0.074094456
ZBTB12,-0.06024146
DTNBP1,-0.029191028
KBTBD8,0.107747275
ZEB1,-0.019501013
ZG16,0.094535751
FAT4,0.04156682
MIER1,0.021138803
ADAM5P,0.125155667
CHD9,0.162717934
STK16,0.012233249
ARID3C,0.130299904
TOB2,-0.075442757
BANK1,0.040520572
OR2V2,0.026522528
SFTA2,0.024021124
GRM2,0.100795334
PROSC,-0.259702688
PIR,-0.145275557
IPO9,0.049712781
EVC,0.071441699
CXCL13,0.004913342
KIAA1199,-0.028919064
SORL1,0.044044875
CHD1,0.09895254
NAT10,-0.05586993
SYN3,0.169996762
SLC22A2,0.11353632
SERPINF1,-0.161943238
WDR34,-0.05638419
OR7A17,0.131058003
C9orf11,0.040829622
EPT1,0.113689317
LHB,0.084837485
STK25,-0.158689879
TAOK3,0.153907177
OR10X1,0.07395485
C3orf39,-0.073324659
CDC25B,-0.014987606
BMP3,0.100392875
TMEM180,0.099339636
MIR564,-0.002921012
CRYGC,0.097649904
POU3F1,0.121739529
HIGD1B,-0.046003108
USP6NL,0.108817882
ABCD4,-0.086260648
TEK,-0.036383662
SLC25A46,-0.129259043
LARP7,-0.019557644
CD160,0.107693147
MT1JP,0.036871678
PHF20,0.060151364
CPNE4,0.107624692
GTPBP1,0.0565541
RAB33B,-0.12461828
ALDOC,0.156896038
ZNF212,0.030872118
NUDT1,-0.165470243
RFPL2,0.079226923
ZNF83,-0.09328654
IPW,0.029550971
GDPD5,0.097529206
PDCD4,-0.041599111
CEP350,0.137120643
CST7,-0.045675519
OR10A2,0.066344938
CIAO1,-0.123333152
SELL,-0.078763665
OR8J3,0.105676458
DCAF4L1,0.044848401
LTBP4,-0.128721743
OR6C1,0.046796889
CCL19,-0.026597173
SIRT6,-0.087694036
PPIL1,-0.174144388
GBP7,0.017036057
STK17A,-0.09521339
ABR,-0.015230711
FOXE1,0.077467502
PCDHA13,0.078314692
SIAH3,0.121901502
GML,0.089235533
CD38,0.007005415
CNGA3,0.174240776
ZDHHC6,0.007201943
NEFH,0.167733857
CTDSP2,-0.229709906
PGBD5,0.089779645
RMND5B,-0.139999572
ZNF257,0.103787523
CCNY,-0.112233954
EXOSC7,-0.170444226
C11orf88,0.003403869
ROR2,-0.028764932
MAOA,-0.155269017
TNNT3,-0.07979519
GYPC,-0.108378576
MIR3120,0.110833556
RNF4,-0.14584846
